final_equity,total_return,sharpe_bar,sharpe_trade,max_drawdown,trades,hit_rate,profit_factor,avg_trade_%,avg_win_%,avg_loss_%,strategy,cost_per_side
0.0038,-0.9962,-18.33,-50.21,-0.9962,3827,0.242,0.21,-0.1448,0.1584,-0.2416,model,0.0015
0.0001,-0.9999,-28.65,-60.5,-0.9999,6178,0.161,0.16,-0.1542,0.1812,-0.2184,1h_momentum,0.0015
0.0,-1.0,-37.23,-58.87,-1.0,11318,0.174,0.17,-0.1483,0.1688,-0.2151,always_long_in_trend,0.0015
0.0,-1.0,-32.99,-59.93,-1.0,8369,0.171,0.16,-0.1494,0.1709,-0.2155,5m_momentum,0.0015
0.0,-1.0,-32.51,-59.78,-1.0,8261,0.171,0.17,-0.1493,0.1745,-0.2161,rsi_trend,0.0015
0.0,-1.0,-31.94,-102.2,-1.0,3827,0.086,0.05,-0.2948,0.1839,-0.3397,model,0.003
0.0,-1.0,-62.02,-118.42,-1.0,11318,0.063,0.04,-0.2983,0.2099,-0.3325,always_long_in_trend,0.003
0.0,-1.0,-54.18,-120.11,-1.0,8369,0.062,0.04,-0.2994,0.2193,-0.3337,5m_momentum,0.003
0.0,-1.0,-53.48,-119.85,-1.0,8261,0.065,0.04,-0.2993,0.2135,-0.3346,rsi_trend,0.003
0.0,-1.0,-46.52,-119.37,-1.0,6178,0.061,0.04,-0.3041,0.2269,-0.3385,1h_momentum,0.003
0.0,-1.0,-41.95,-171.53,-1.0,3827,0.025,0.01,-0.4948,0.2394,-0.5137,model,0.005
0.0,-1.0,-78.45,-197.81,-1.0,11318,0.023,0.01,-0.4983,0.2488,-0.5158,always_long_in_trend,0.005
0.0,-1.0,-67.77,-200.34,-1.0,8369,0.022,0.01,-0.4994,0.2757,-0.5168,5m_momentum,0.005
0.0,-1.0,-67.01,-199.94,-1.0,8261,0.022,0.01,-0.4993,0.2702,-0.5168,rsi_trend,0.005
0.0,-1.0,-58.03,-197.86,-1.0,6178,0.023,0.01,-0.5041,0.2683,-0.5226,1h_momentum,0.005
