trig,reg,final_equity,sharpe_bar,max_drawdown,trades,hit_rate,profit_factor
0.45,0.35,0.1987,-6.08,-0.8073,2243,0.36,0.52
0.45,0.4,0.2751,-5.26,-0.7329,1682,0.355,0.51
0.45,0.5,0.6182,-2.75,-0.3996,678,0.394,0.58
0.5,0.35,0.2153,-5.78,-0.7914,2181,0.367,0.53
0.5,0.4,0.291,-5.03,-0.7178,1642,0.362,0.52
0.5,0.5,0.6313,-2.62,-0.3869,670,0.397,0.6
0.55,0.35,0.2231,-5.68,-0.7844,2099,0.368,0.53
0.55,0.4,0.3038,-4.88,-0.7046,1580,0.365,0.53
0.55,0.5,0.6342,-2.61,-0.3854,658,0.398,0.6
0.6,0.35,0.2451,-5.35,-0.7633,1986,0.375,0.54
0.6,0.4,0.3248,-4.62,-0.6851,1505,0.373,0.53
0.6,0.5,0.6361,-2.6,-0.3827,639,0.401,0.59
