threshold,cost_per_side,year,signals,return,max_drawdown
0.5,0.0015,2024,6637,-0.5677609546617357,-0.5689002728382881
0.5,0.0015,2025,3683,-0.35940557157444597,-0.3639294931875008
0.5,0.0015,2026,1341,-0.13881723914544852,-0.14329729725288676
0.5,0.003,2024,6637,-0.8267988483803351,-0.8268396675526728
0.5,0.003,2025,3683,-0.6103084036979625,-0.6107741345524289
0.5,0.003,2026,1341,-0.31250411334260797,-0.31447204203543355
0.55,0.0015,2024,3726,-0.36442788889660604,-0.3673022677403168
0.55,0.0015,2025,1414,-0.2306368004440582,-0.2313605585616143
0.55,0.0015,2026,374,-0.06830290307973141,-0.07512866303542642
0.55,0.003,2024,3726,-0.6424042663049152,-0.6436266340085394
0.55,0.003,2025,1414,-0.39131917381408143,-0.3914350079123582
0.55,0.003,2026,374,-0.13049859443715062,-0.13492317911121787
0.6,0.0015,2024,1861,-0.2157595431428434,-0.21675461065366042
0.6,0.0015,2025,492,-0.11689994102940382,-0.12218591705664128
0.6,0.0015,2026,79,-0.010827684923135572,-0.013121321303576683
0.6,0.003,2024,1861,-0.4389303352017675,-0.43922133733240565
0.6,0.003,2025,492,-0.19782198662416672,-0.20142544489588676
0.6,0.003,2026,79,-0.02702982433806045,-0.027101516675970383
0.65,0.0015,2024,764,-0.10167817601826246,-0.10912413372243646
0.65,0.0015,2025,145,-0.03355299798420264,-0.039414901100927935
0.65,0.0015,2026,15,0.0,0.0
0.65,0.003,2024,764,-0.2418797972130472,-0.24464291234781488
0.65,0.003,2025,145,-0.06073779617965169,-0.06458436602705098
0.65,0.003,2026,15,0.0,0.0
0.7,0.0015,2024,268,-0.036781317423971394,-0.04658267931713245
0.7,0.0015,2025,40,-0.008494324970339528,-0.02084841194386644
0.7,0.0015,2026,4,0.0,0.0
0.7,0.003,2024,268,-0.09972528144931858,-0.10722456357845656
0.7,0.003,2025,40,-0.020335063814199028,-0.029631955161695145
0.7,0.003,2026,4,0.0,0.0
