horizon,label_cost,conf_gate,fee_mode,final_equity,sharpe_bar,max_drawdown,trades,hit_rate,profit_factor
48,0.005,0.6,maker,1.0007,0.38,-0.0006,2,0.5,3.15
24,0.003,0.55,maker,1.0028,0.35,-0.0064,7,0.571,1.69
24,0.003,0.5,maker,1.006,0.32,-0.0065,42,0.619,1.36
24,0.003,0.6,maker,1.0009,0.2,-0.0028,2,0.5,2.27
24,0.003,0.55,taker,1.0008,0.1,-0.0068,7,0.571,1.16
24,0.003,0.6,taker,1.0003,0.06,-0.0028,2,0.5,1.25
72,0.0075,0.5,maker,1.0001,0.06,-0.001,1,1.0,inf
48,0.005,0.6,taker,1.0,0.01,-0.0011,2,0.5,1.03
72,0.0075,0.6,taker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.55,taker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.55,maker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.7,maker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.6,maker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.65,taker,1.0,0.0,0.0,1,0.0,inf
48,0.005,0.7,maker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.7,taker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.7,maker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.6,taker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.65,maker,1.0,0.0,0.0,1,0.0,inf
48,0.005,0.65,taker,1.0,0.0,0.0,1,0.0,inf
48,0.005,0.7,taker,1.0,0.0,0.0,1,0.0,inf
48,0.005,0.65,maker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.55,taker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.6,maker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.65,taker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.65,maker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.7,taker,1.0,0.0,0.0,1,0.0,inf
24,0.003,0.7,maker,1.0,0.0,0.0,1,0.0,inf
24,0.003,0.7,taker,1.0,0.0,0.0,1,0.0,inf
24,0.003,0.65,maker,1.0,0.0,0.0,1,0.0,inf
24,0.003,0.65,taker,1.0,0.0,0.0,1,0.0,inf
96,0.01,0.55,maker,1.0,0.0,0.0,1,0.0,inf
72,0.0075,0.5,taker,0.9999,-0.03,-0.0011,1,0.0,0.0
24,0.003,0.5,taker,0.9961,-0.21,-0.0086,42,0.524,0.81
48,0.005,0.5,maker,0.997,-0.29,-0.0072,37,0.595,0.77
48,0.005,0.55,maker,0.9977,-0.38,-0.0054,14,0.5,0.57
48,0.005,0.55,taker,0.9937,-0.98,-0.0087,14,0.357,0.19
48,0.005,0.5,taker,0.9881,-1.13,-0.0147,37,0.351,0.34
96,0.01,0.5,maker,0.9994,-1.29,-0.0006,2,0.0,0.0
96,0.01,0.5,taker,0.999,-1.35,-0.001,2,0.0,0.0
